Date,TP,Treatment_Cage,Treatment,Cage,Replicate,count
2021-08-20,3,P7,P,7,A,88
2021-08-20,3,P7,P,7,B,32
2021-08-20,3,P7,P,7,C,349
2021-08-20,3,P7,P,7,D,170
2021-08-20,3,P8,P,8,A,89
2021-08-20,3,P8,P,8,B,1
2021-08-20,3,P8,P,8,C,197
2021-08-20,3,P8,P,8,D,777
2021-08-20,3,P9,P,9,A,415
2021-08-20,3,P9,P,9,B,0
2021-08-20,3,P9,P,9,C,101
2021-08-20,3,P9,P,9,D,123
2021-09-17,4,E1,E,1,A,119
2021-09-17,4,E1,E,1,B,264
2021-09-17,4,E1,E,1,C,176
2021-09-17,4,E1,E,1,D,48
2021-09-17,4,E2,E,2,A,286
2021-09-17,4,E2,E,2,B,115
2021-09-17,4,E2,E,2,C,405
2021-09-17,4,E2,E,2,D,65
2021-09-17,4,E3,E,3,A,344
2021-09-17,4,E3,E,3,B,20
2021-09-17,4,E3,E,3,C,193
2021-09-17,4,E3,E,3,D,210
2021-09-17,4,E4,E,4,A,266
2021-09-17,4,E4,E,4,B,222
2021-09-17,4,E4,E,4,C,685
2021-09-17,4,E4,E,4,D,137
2021-09-17,4,E5,E,5,A,772
2021-09-17,4,E5,E,5,B,362
2021-09-17,4,E5,E,5,C,97
2021-09-17,4,E5,E,5,D,290
2021-09-17,4,E6,E,6,A,406
2021-09-17,4,E6,E,6,B,0
2021-09-17,4,E6,E,6,C,0
2021-09-17,4,E6,E,6,D,142
2021-09-17,4,E7,E,7,A,139
2021-09-17,4,E7,E,7,B,67
2021-09-17,4,E7,E,7,C,311
2021-09-17,4,E7,E,7,D,373
2021-09-17,4,E8,E,8,A,67
2021-09-17,4,E8,E,8,B,116
2021-09-17,4,E8,E,8,C,321
2021-09-17,4,E8,E,8,D,215
2021-09-17,4,E9,E,9,A,22
2021-09-17,4,E9,E,9,B,45
2021-09-17,4,E9,E,9,C,202
2021-09-17,4,E9,E,9,D,305
2021-09-17,4,E10,E,10,A,57
2021-09-17,4,E10,E,10,B,48
2021-09-17,4,E10,E,10,C,211
2021-09-17,4,E10,E,10,D,387
2021-09-17,4,P1,P,1,A,55
2021-09-17,4,P1,P,1,B,368
2021-09-17,4,P1,P,1,C,27
2021-09-17,4,P1,P,1,D,46
2021-09-17,4,P2,P,2,A,34
2021-09-17,4,P2,P,2,B,691
2021-09-17,4,P2,P,2,C,81
2021-09-17,4,P2,P,2,D,20
2021-09-17,4,P3,P,3,A,142
2021-09-17,4,P3,P,3,B,252
2021-09-17,4,P3,P,3,C,22
2021-09-17,4,P3,P,3,D,197
2021-09-17,4,P4,P,4,A,333
2021-09-17,4,P4,P,4,B,673
2021-09-17,4,P4,P,4,C,605
2021-09-17,4,P4,P,4,D,275
2021-09-17,4,P5,P,5,A,113
2021-09-17,4,P5,P,5,B,209
2021-09-17,4,P5,P,5,C,321
2021-09-17,4,P5,P,5,D,0
2021-09-17,4,P6,P,6,A,22
2021-09-17,4,P6,P,6,B,91
2021-09-17,4,P6,P,6,C,582
2021-09-17,4,P6,P,6,D,542
2021-09-17,4,P7,P,7,A,6
2021-09-17,4,P7,P,7,B,9
2021-09-17,4,P7,P,7,C,128
2021-09-17,4,P7,P,7,D,162
2021-09-17,4,P8,P,8,A,17
2021-09-17,4,P8,P,8,B,256
2021-09-17,4,P8,P,8,C,180
2021-09-17,4,P8,P,8,D,1015
2021-09-17,4,P9,P,9,A,30
2021-09-17,4,P9,P,9,B,174
2021-09-17,4,P9,P,9,C,144
2021-09-17,4,P9,P,9,D,714
2021-09-17,4,P10,P,10,A,323
2021-09-17,4,P10,P,10,B,45
2021-09-17,4,P10,P,10,C,748
2021-09-17,4,P10,P,10,D,6
